serviceID,title,realTitle,category,url,buttonPosition,active
1,Chứng thực hợp đồng,"Chứng thực giao dịch liên quan đến tài sản là động sản, quyền sử dụng đất, nhà ở",chứng thực,https://dichvucong.gov.vn/tim-kiem-thu-tuc-hanh-chinh?formalityId=019d2bfd-95fa-70ca-93fd-4cab11b87897&formalityCaseId=019db06b-1e13-773f-bd01-af4904294075,1,1
2,Thủ tục chứng thực giấy tờ bản sao từ bản chính,"Chứng thực bản sao từ bản chính giấy tờ, văn bản do cơ quan, tổ chức có thẩm quyền của Việt Nam; cơ quan, tổ chức có thẩm quyền của nước ngoài; cơ quan, tổ chức có thẩm quyền của Việt Nam liên kết với cơ quan, tổ chức có thẩm quyền của nước ngoài cấp hoặc chứng nhận",chứng thực,https://dichvucong.gov.vn/tim-kiem-thu-tuc-hanh-chinh?formalityId=019d2bfd-8e22-77ef-819f-e49460350904,1,1
3,"Thủ tục chứng thực chữ ký trong các giấy tờ, văn bản","Chứng thực chữ ký trong các giấy tờ, văn bản (áp dụng cho cả trường hợp chứng thực điểm chỉ và trường hợp người yêu cầu chứng thực không thể ký, không thể điểm chỉ được)",chứng thực,https://dichvucong.gov.vn/tim-kiem-thu-tuc-hanh-chinh?formalityId=019d2bfd-8e2e-7359-b42f-d5dc8d74741b&formalityCaseId=019e765b-3568-746a-baed-ccf7b0ed2ceb,1,1
4,Đăng ký kết hôn,Thủ tục đăng ký kết hôn,hộ tịch,https://dichvucong.gov.vn/tim-kiem-thu-tuc-hanh-chinh?formalityId=019d2bfd-3fac-7489-b53b-a15eb239a6fe&formalityCaseId=019d4346-42c5-71a1-9328-f59faac00421,1,1
5,Cải chính hộ tịch,"Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc",hộ tịch,https://dichvucong.gov.vn/tim-kiem-thu-tuc-hanh-chinh?formalityId=019d2bfd-671e-714b-8fd6-8230c82f7867,1,1
6,Xác định tình trạng hôn nhân,Thủ tục cấp Giấy xác nhận tình trạng hôn nhân,hộ tịch,https://dichvucong.gov.vn/tim-kiem-thu-tuc-hanh-chinh?formalityId=019d2bfd-6eb3-7019-bf3f-fc58c9ee44b9&formalityCaseId=019db0ca-2db5-749f-8967-9cd8d16b1b80,1,1
